Date,vix,spx,vxx,vix_vol,vix_futures_f1,vix_futures_f2,term_structure,spx_ma50,spx_trend,vix_change,vix_ma10,market_state,market_state_smooth,ts_signal,vix_futures_vol,ts_position_size,ts_position,ts_returns,ts_signal_change,ts_returns_trade_cost,ts_returns_short_cost,ts_returns_net,etf_signal,hedge_ratio,etf_position,etf_returns,etf_signal_change,etf_returns_trade_cost,etf_returns_short_cost,etf_returns_net,ts_weight,etf_weight,ts_target_weight,etf_target_weight,dynamic_returns,equal_weight_returns
2014-10-07,17.200000762939453,1935.0999755859373,,,17.10829187838625,16.975537758776465,1.0078203189493158,,0,11.254855889386109,15.613000011444091,3,2,1.0,,,,,0.0,0.0,0,,-0.5,0.8880000305175781,-0.44400001525878907,,0.5,0.00075,2.9761904761904762e-05,,0.3,0.7,0.3,0.7,,
2014-10-08,15.109999656677246,1968.8900146484373,,,15.121634797058254,15.904429654496113,0.9507813310855469,,0,-12.151168683465974,15.79699993133545,2,2,1.0,,,,,0.0,0.0,0,,-1.0,0.7043999862670899,-0.7043999862670899,,0.5,0.00075,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-09,18.76000022888184,1928.2099609375,,,18.94298135322076,19.36761955701486,0.9780748376152248,,0,24.156192290789512,16.108999919891357,2,2,1.0,,,,,0.0,0.0,0,,0.0,0.9,0.0,,1.0,0.0015,0.0,,0.3,0.7,0.3,0.7,,
2014-10-10,21.239999771118164,1906.1300048828125,,,20.24615965565572,20.594711716112457,0.9830756523683678,,0,13.219613603299752,16.7479998588562,2,2,1.0,,,,,0.0,0.0,0,,-0.5,0.9,-0.45,,0.5,0.00075,2.9761904761904762e-05,,0.3,0.7,0.3,0.7,,
2014-10-13,24.63999938964844,1874.739990234375,,,23.638340491702465,24.555534380027737,0.9626481804822268,,0,16.007531333185533,17.613999843597412,2,2,1.0,,,,,0.0,0.0,0,,-0.5,0.9,-0.45,,0.0,0.0,2.9761904761904762e-05,,0.3,0.7,0.3,0.7,,
2014-10-14,22.790000915527344,1877.699951171875,,,22.42515712344104,22.980308045168528,0.9758423202754148,,0,-7.508110876408136,18.261999988555907,2,2,1.0,,,,,0.0,0.0,0,,-1.0,0.9,-0.9,,0.5,0.00075,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-15,25.270000457763672,1862.489990234375,,,24.60548488386355,24.431356101400265,1.0071272663596968,,0,10.881963328692311,19.11800012588501,4,2,1.0,,,,,0.0,0.0,0,,-0.5,0.9,-0.45,,0.5,0.00075,2.9761904761904762e-05,,0.3,0.7,0.3,0.7,,
2014-10-16,25.200000762939453,1862.760009765625,,,25.201124406348907,24.882203703094937,1.0128172209768662,,0,-0.2770070975709582,20.022000217437743,4,2,1.0,,,,,0.0,0.0,0,,-1.0,0.9,-0.9,,0.5,0.00075,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-17,21.989999771118164,1886.760009765625,,,21.476287740224013,22.32564716939088,0.9619558876514288,,0,-12.73809878824329,20.766000175476076,2,2,1.0,,,,,0.0,0.0,0,,-1.0,0.9,-0.9,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-20,18.56999969482422,1904.010009765625,,3.870245912949028,17.935347859415362,18.063621581837666,0.9928987815737196,,0,-15.55252438331446,21.0770001411438,2,2,1.0,,,,,0.0,0.0,0,,-1.0,0.8427999877929687,-0.8427999877929687,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-21,16.079999923706055,1941.280029296875,,3.826914329158667,17.008824311981527,17.882672236956893,0.9511343767085636,,0,-13.408722735801504,20.965000057220458,2,2,1.0,1.8765312670404253,0.5,0.5,,0.0,0.0,0,,-1.0,0.7431999969482421,-0.7431999969482421,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-22,17.8700008392334,1927.1099853515625,,3.643215726540297,17.86361264702846,18.477896185809477,0.9667557641517238,,0,11.131846542414614,21.241000175476078,2,2,1.0,1.8118871529830303,0.5,0.5,0.025127790121413418,0.0,0.0,0,0.025127790121413418,-0.5,0.9,-0.45,,0.5,0.00075,2.9761904761904762e-05,,0.3,0.7,0.3,0.7,,
2014-10-23,16.530000686645508,1950.8199462890625,,3.611496773039788,16.737264754657193,17.12859955552305,0.9771531350477703,,0,-7.498601508993408,21.018000221252443,2,2,1.0,1.70953175172236,0.5,0.5,-0.03152631874154055,0.0,0.0,0,-0.03152631874154055,-1.0,0.7612000274658203,-0.7612000274658203,,0.5,0.00075,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-24,16.110000610351562,1964.5799560546875,,3.5538375812438354,15.592126486727256,16.10290682153175,0.9682802403028556,,0,-2.5408352017387448,20.50500030517578,2,2,1.0,1.7283742592224298,0.5,0.5,-0.03420924161492095,0.0,0.0,0,-0.03420924161492095,-1.0,0.7444000244140625,-0.7444000244140625,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-27,16.040000915527344,1961.6300048828125,,3.5515104447656625,15.965809507488386,15.911913222843545,1.0033871655714832,,0,-0.4345108142282727,19.645000457763672,3,2,1.0,1.7295559565927496,0.5,0.5,0.011983067899020261,0.0,0.0,0,0.011983067899020261,-1.0,0.7416000366210938,-0.7416000366210938,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-28,14.390000343322754,1985.050048828125,,3.6422972631139143,14.72596162101155,15.2903363130861,0.9630894520226128,,0,-10.286786022607552,18.80500040054321,2,2,1.0,1.7531457336559861,0.5,0.5,-0.03882821869743952,0.0,0.0,0,-0.03882821869743952,-1.0,0.6756000137329101,-0.6756000137329101,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-29,15.149999618530272,1982.300048828125,,3.699655016901749,14.817002848892608,14.952701481904764,0.9909248082578004,,0,5.281440285442196,17.793000316619874,2,2,1.0,1.728989688279337,0.5,0.5,0.003091181079514671,0.0,0.0,0,0.003091181079514671,-1.0,0.8059999847412108,-0.8059999847412108,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-30,14.520000457763672,1994.6500244140625,,3.7707032302368657,14.981849444048326,15.025503841616716,0.9970946466735126,,0,-4.158410406796554,16.725000286102294,2,2,1.0,1.719652088919525,0.5,0.5,0.00556275101101289,0.0,0.0,0,0.00556275101101289,-1.0,0.6808000183105468,-0.6808000183105468,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-31,14.029999732971191,2018.050048828125,,3.8001328105331575,14.028180401363228,13.99231805753876,1.0025630023329228,,0,-3.3746605326756884,15.929000282287598,3,2,1.0,1.6702685970503661,0.5,0.5,-0.03182748052056922,0.0,0.0,0,-0.03182748052056922,-1.0,0.6611999893188476,-0.6611999893188476,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-03,14.729999542236328,2017.81005859375,,3.832693068617249,14.847652690227877,15.626888783431689,0.950134917832781,,0,4.989307359857631,15.545000267028808,2,2,1.0,1.649285400750767,0.5,0.5,0.029208074939819473,0.0,0.0,0,0.029208074939819473,-1.0,0.6891999816894531,-0.6891999816894531,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-04,14.890000343322754,2012.0999755859373,,3.9021134772574575,14.844647020041918,15.10120741253534,0.983010604020944,,0,1.0862240737187,15.426000308990478,2,2,1.0,1.6280289690392244,0.5,0.5,-0.00010121701553322815,0.0,0.0,0,-0.00010121701553322815,-1.0,0.6956000137329101,-0.6956000137329101,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-05,14.170000076293944,2023.5699462890625,,3.946640542412631,15.387639164733717,16.309386652650677,0.9434836203501772,,0,-4.835461722146195,15.056000232696531,2,2,1.0,1.5757205262001075,0.5,0.5,0.01828915648713969,0.0,0.0,0,0.01828915648713969,-1.0,0.6668000030517577,-0.6668000030517577,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-06,13.670000076293944,2031.2099609375,,4.067399828197048,13.979751460110284,14.2384035649979,0.981834192035162,,0,-3.5285814912343394,14.770000171661376,2,2,1.0,1.310659275144198,0.5,0.5,-0.04574735895322107,0.0,0.0,0,-0.04574735895322107,-1.0,0.6468000030517578,-0.6468000030517578,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-07,13.119999885559082,2031.9200439453125,,4.120741705041353,12.93514442680318,12.81099137232939,1.009691135593296,,0,-4.023410297478014,14.47100009918213,3,2,1.0,1.2925014551097531,0.5,0.5,-0.03736143079109017,0.0,0.0,0,-0.03736143079109017,-1.0,0.6247999954223633,-0.6247999954223633,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-10,12.670000076293944,2038.260009765625,,3.890120553206097,13.447772528530844,13.51624837240217,0.9949338128462376,,0,-3.429876624926209,14.134000015258788,2,2,1.0,1.1152829281094918,0.5,0.5,0.019815321917296735,0.0,0.0,0,0.019815321917296735,-1.0,0.6068000030517577,-0.6068000030517577,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-11-11,12.920000076293944,2039.6800537109373,,3.724724630454865,12.663578247493737,13.41422908092063,0.944040702682306,,0,1.9731649447087165,13.986999988555908,2,2,1.0,1.1177146770869615,0.5,0.5,-0.029157032488962675,0.0,0.0,0,-0.029157032488962675,-1.0,0.6168000030517578,-0.6168000030517578,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
