,Days,Percentage(%),期限结构策略 Monthly Return(%),ETF对冲策略 Monthly Return(%),等权组合 Monthly Return(%),动态策略选择 Monthly Return(%)
State 1,469.0,20.715547703180214,11.441608372421594,0.5379382833710717,8.05722001624342,3.4965743198131762
State 2,923.0,40.76855123674912,2.3170755466756217,4.508241306026226,3.0786248825639237,3.4756493378737416
State 3,322.0,14.2226148409894,-1.9802359402203429,4.062496122533221,0.9652886179193638,0.970856823314942
State 4,350.0,15.459363957597173,3.2565900195620263,-0.6238791281658627,2.501120006270291,2.5225864709641876
State 5,3.0,0.13250883392226148,0.8788721326700333,16.492679106253263,8.685775619461648,6.205260184009802
State 6,197.0,8.701413427561837,13.656182438270633,-4.859067492426363,4.398557472922135,13.656182438270633
